flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual
1395635675,On Time,27,KIX,null,77,StarFlyer,32N,16:25,16:37,17:55,17:54
1395691153,On Time,651,KOJ,null,105,JAL,738,16:30,16:30,18:10,18:15
1395690654,On Time,127,ITM,null,59,JAL,763,16:30,16:36,17:35,17:35
1395690771,On Time,219,SHM,null,66,JAL,738,16:30,16:31,17:40,17:37
1395705814,On Time,455,HSG,null,102,ANA,738,16:30,16:32,18:20,18:14
1395639627,Delayed,176,DFW,null,754,American Airlines,773,16:30,17:29,14:25,16:03
1395705970,On Time,627,KOJ,null,97,ANA,321,16:35,16:32,18:20,18:09
1395635302,On Time,17,KMJ,null,93,Solaseed Air,738,16:35,16:40,18:20,18:13
1395668994,On Time,8,LAX,null,649,Delta Air Lines,359,16:35,16:30,11:05,11:19
1395737624,On Time,385,HAN,null,296,Vietnam Airlines,359,16:35,16:46,20:05,19:42
1395690417,On Time,25,PEK,null,238,JAL,738,16:35,16:41,19:45,19:39
1395691052,Delayed,523,CTS,null,109,JAL,359,16:40,16:50,18:20,18:39
1395691220,Delayed,669,OIT,null,87,JAL,738,16:40,16:59,18:10,18:26
1395684543,Delayed,79,MMB,null,125,Air Do,73G,16:45,16:44,18:30,18:49
1395706045,On Time,667,NGS,null,124,ANA,762,16:45,16:49,18:40,18:53
1395690522,On Time,295,UBJ,null,88,JAL,E90,16:45,16:43,18:20,18:11
1395690323,Delayed,189,KMQ,null,81,JAL,738,16:45,17:28,17:55,18:49
1395705454,On Time,1097,OKA,null,143,ANA,789,16:50,16:50,19:25,19:13
1396237230,Delayed,723,ONJ,null,90,ANA,32N,16:50,18:27,18:05,19:57
1395706094,Diverted,723,ONJ,HND,28,ANA,32N,16:50,16:52,18:05,17:20
1395690526,On Time,285,IZO,null,89,JAL,763,16:55,17:05,18:20,18:34
1395691015,On Time,497,KCZ,null,76,JAL,738,16:55,16:58,18:15,18:14
1395706007,Delayed,637,IWK,null,85,ANA,738,16:55,17:34,18:30,18:59
1395690993,On Time,439,MYJ,null,81,JAL,738,16:55,17:03,18:20,18:24
1395656149,On Time,723,CTS,null,99,Skymark Airlines,738,16:55,17:05,18:35,18:44
1395691374,On Time,923,OKA,null,145,JAL,763,16:55,17:02,19:25,19:27
1395690800,On Time,327,FUK,null,113,JAL,359,17:00,17:05,19:00,18:58
1395705693,On Time,265,FUK,null,114,ANA,789,17:00,17:13,19:00,19:07
1395706102,Delayed,73,CTS,null,108,ANA,772,17:00,17:20,18:45,19:08
1395705934,Delayed,557,HKD,null,92,ANA,32Q,17:00,17:13,18:30,18:45
1395705763,Delayed,35,ITM,null,67,ANA,78J,17:00,18:00,18:10,19:07
1395656064,On Time,521,OKA,null,147,Skymark Airlines,738,17:05,17:09,19:50,19:36
1395718431,On Time,633,SIN,null,388,Singapore Airlines,773,17:05,17:05,23:05,22:33
1395684473,Delayed,67,OBO,null,104,Air Do,73G,17:05,17:26,18:40,19:10
1395690695,On Time,159,MSJ,null,80,JAL,738,17:05,17:15,18:30,18:35
1395690404,On Time,239,OKJ,null,68,JAL,738,17:10,17:19,18:25,18:27
1395635644,On Time,85,KKJ,null,98,StarFlyer,320,17:10,17:09,18:55,18:47
1395675422,On Time,896,PVG,null,167,Shanghai Airlines,789,17:10,17:43,19:20,19:30
1395691067,On Time,569,MMB,null,119,JAL,738,17:15,17:17,19:10,19:16
1395691099,Delayed,589,HKD,null,100,JAL,763,17:15,17:26,18:45,19:06
1395733145,On Time,882,ORD,null,706,United Airlines,78J,17:15,17:15,15:25,15:01
1395706245,On Time,963,PEK,null,237,ANA,763,17:15,17:16,20:15,20:13
1395684528,On Time,87,AKJ,null,102,Air Do,762,17:15,17:14,18:50,18:56
1395635366,On Time,97,OIT,null,86,Solaseed Air,738,17:15,17:12,18:50,18:38
1395691295,On Time,89,PVG,null,185,JAL,738,17:20,17:48,19:45,19:53
1395705717,Delayed,285,TKS,null,67,ANA,738,17:20,17:54,18:35,19:01
1395690295,Delayed,16,LAX,null,657,JAL,351,17:25,17:45,11:45,12:42
1395691050,Delayed,557,AKJ,null,113,JAL,738,17:25,17:37,19:15,19:30
1395656048,Delayed,23,FUK,null,117,Skymark Airlines,7M8,17:25,17:49,19:25,19:46
1395705966,On Time,595,MYJ,null,81,ANA,788,17:30,17:34,18:55,18:55
1395691056,Delayed,525,CTS,null,111,JAL,359,17:30,17:53,19:15,19:44
1395690304,On Time,179,GAJ,null,73,JAL,E90,17:30,17:30,18:35,18:43
1395691065,Delayed,545,KUH,null,119,JAL,738,17:30,17:35,19:15,19:34
1395704382,On Time,790,PKX,null,236,China Eastern Airlines,321,17:35,17:33,20:40,20:29
1395705973,Delayed,613,KMI,null,89,ANA,32N,17:35,18:39,19:15,20:08
1395690276,On Time,131,ITM,null,59,JAL,738,17:35,17:45,18:40,18:44
1395691105,On Time,579,OBO,null,103,JAL,738,17:35,17:46,19:20,19:29
1395691173,On Time,637,KMJ,null,98,JAL,738,17:35,17:47,19:20,19:25
1395705885,Delayed,537,TAK,null,74,ANA,321,17:40,18:11,18:55,19:25
1395706017,On Time,647,KMJ,null,97,ANA,32Q,17:40,18:01,19:25,19:38
1395635656,On Time,15,UBJ,null,93,StarFlyer,320,17:40,17:38,19:20,19:11
1395727832,Delayed,130,EWR,null,848,United Airlines,772,17:45,17:47,18:05,18:55
1395706251,On Time,891,SGN,null,330,ANA,789,17:45,18:15,21:55,21:45
