flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,operatedBy,gate,terminal,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual,timezone
1395065631,Delayed,405,AXT,null,Operated by ANA Wings on behalf of ANA,51,2,69,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,14:00,14:11,15:05,15:20,9
1395017259,Delayed,717,CTS,null,null,20,1,105,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,14:05,14:18,15:40,16:03,9
1395051784,Delayed,555,AKJ,null,null,16,1,105,JAL,Boeing 767-300 Passenger,14:05,14:15,15:40,16:00,9
1395051736,On Time,495,KCZ,null,null,4,1,76,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,14:05,14:11,15:20,15:27,9
1395065800,Delayed,565,KCZ,null,null,509,2,75,ANA,Airbus A321neo,14:05,15:45,15:25,17:00,9
1394996604,On Time,81,KKJ,null,null,1,1,97,StarFlyer,Airbus A320neo,14:05,14:09,15:45,15:46,9
1395051852,Delayed,649,KOJ,null,null,14,1,90,JAL,Boeing 767-300 Passenger,14:15,14:51,15:55,16:21,9
1395051886,On Time,693,KMI,null,Operated by J-Air on behalf of JAL,12,1,94,JAL,Embraer 190,14:15,14:15,15:50,15:49,9
1395051441,On Time,263,HIJ,null,null,6,1,77,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,14:20,14:24,15:40,15:41,9
1395065803,On Time,593,MYJ,null,null,60,2,79,ANA,Boeing 767-381(ER) Passenger,14:20,14:24,15:45,15:43,9
1395065306,Delayed,1103,CTS,null,null,58,2,109,ANA,Boeing 787-8,14:25,14:37,16:00,16:26,9
1395065568,Delayed,257,FUK,null,null,62,2,105,ANA,Boeing 777-200 / 200ER,14:25,14:50,16:10,16:35,9
1395051755,Delayed,519,CTS,null,null,13,1,108,JAL,Airbus A350-900,14:25,14:42,16:00,16:30,9
1395063059,Cancelled,538,SHA,null,null,null,3,185,China Eastern Airlines,Airbus A330-300,14:30,null,16:35,null,CST
1395051179,On Time,121,ITM,null,null,15,1,69,JAL,Boeing 787-8,14:30,14:34,15:35,15:43,9
1395051381,On Time,237,OKJ,null,Operated by Japan TransOcean Air on behalf of JAL,9,1,76,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,14:30,14:31,15:45,15:47,9
1394996258,On Time,59,KMI,null,null,54,2,94,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,14:30,14:30,16:10,16:04,9
1395020726,On Time,221,TSA,null,null,110,3,187,China Airlines,Airbus A330-300,14:30,14:22,16:55,16:29,-6
1395017262,Delayed,719,CTS,null,null,37,1,95,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,14:35,14:41,16:10,17:00,9
1395045909,Delayed,59,HKD,null,null,55,2,83,Air Do,Boeing 767-381(ER) Passenger,14:40,14:59,16:00,16:22,9
1394996299,On Time,95,OIT,null,null,56,2,88,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,14:40,14:44,16:15,16:12,9
1395051939,On Time,633,KMJ,null,null,8,1,101,JAL,Boeing 767-300 Passenger,14:40,14:46,16:20,16:27,9
